,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160214:1656,11.14,20.052,2.24,3.83,6.74,0,,,,,,,,,,
20160214:1756,0,0,0,2.81,6.07,0,,,,,,,,,,
20160214:1856,0,0,0,1.8,5.39,0,,,,,,,,,,
20160214:1956,0,0,0,1.14,5.44,0,,,,,,,,,,
20160214:2056,0,0,0,0.48,5.49,0,,,,,,,,,,
20160214:2156,0,0,0,-0.18,5.53,0,,,,,,,,,,
20160214:2256,0,0,0,-0.43,5.52,0,,,,,,,,,,
20160214:2356,0,0,0,-0.68,5.5,0,,,,,,,,,,
20160215:0056,0,0,0,-0.93,5.49,0,,,,,,,,,,
20160215:0156,0,0,0,-1.14,5.46,0,,,,,,,,,,
20160215:0256,0,0,0,-1.35,5.43,0,,,,,,,,,,
20160215:0356,0,0,0,-1.56,5.39,0,,,,,,,,,,
20160215:0456,0,0,0,-1.61,5.54,0,,,,,,,,,,
20160215:0556,0,0,0,-1.66,5.68,0,,,,,,,,,,
20160215:0656,0,0,0,-1.71,5.82,0,,,,,,,,,,
20160215:0756,113.99,205.182,4.18,-1.19,6.15,0,,,,,,,,,,
20160215:0856,395.71,712.278,11.96,-0.67,6.47,0,,,,,,,,,,
20160215:0956,614.19,1105.542,18.4,-0.15,6.8,0,,,,,,,,,,
20160215:1056,761.29,1370.322,23.01,1.08,7.01,0,,,,,,,,,,
20160215:1156,826.65,1487.97,25.32,2.3,7.21,0,,,,,,,,,,
20160215:1256,805.94,1450.692,25.06,3.53,7.42,0,,,,,,,,,,
20160215:1356,417.73,751.914,22.26,3.78,6.93,0,,,,,,,,,,
20160215:1456,389.03,700.254,17.25,4.04,6.44,0,,,,,,,,,,
20160215:1556,204.29,367.722,10.5,4.29,5.94,0,,,,,,,,,,
20160215:1656,16.83,30.294,2.51,3.24,4.84,0,,,,,,,,,,
20160215:1756,0,0,0,2.18,3.74,0,,,,,,,,,,
20160215:1856,0,0,0,1.13,2.63,0,,,,,,,,,,
20160215:1956,0,0,0,0.44,2.59,0,,,,,,,,,,
20160215:2056,0,0,0,-0.24,2.55,0,,,,,,,,,,
20160215:2156,0,0,0,-0.93,2.51,0,,,,,,,,,,
20160215:2256,0,0,0,-1.52,2.4,0,,,,,,,,,,
20160215:2356,0,0,0,-2.11,2.29,0,,,,,,,,,,
20160216:0056,0,0,0,-2.69,2.18,0,,,,,,,,,,
20160216:0156,0,0,0,-3.11,1.76,0,,,,,,,,,,
20160216:0256,0,0,0,-3.54,1.34,0,,,,,,,,,,
20160216:0356,0,0,0,-3.96,0.92,0,,,,,,,,,,
20160216:0456,0,0,0,-4.35,1.15,0,,,,,,,,,,
20160216:0556,0,0,0,-4.74,1.37,0,,,,,,,,,,
20160216:0656,0,0,0,-5.14,1.6,0,,,,,,,,,,
20160216:0756,121.34,218.412,4.46,-3.91,2.33,0,,,,,,,,,,
20160216:0856,400.66,721.188,12.26,-2.69,3.05,0,,,,,,,,,,
20160216:0956,617.91,1112.238,18.72,-1.47,3.78,0,,,,,,,,,,
20160216:1056,757.14,1362.852,23.34,0.56,4.25,0,,,,,,,,,,
20160216:1156,821.91,1479.438,25.66,2.59,4.73,0,,,,,,,,,,
20160216:1256,801.33,1442.394,25.4,4.62,5.2,0,,,,,,,,,,
20160216:1356,645.37,1161.666,22.59,4.99,5.93,0,,,,,,,,,,
20160216:1456,437.23,787.014,17.56,5.37,6.65,0,,,,,,,,,,
20160216:1556,221.17,398.106,10.8,5.75,7.38,0,,,,,,,,,,
20160216:1656,89.22,160.596,2.79,4.84,6.83,0,,,,,,,,,,
20160216:1756,0,0,0,3.93,6.28,0,,,,,,,,,,
20160216:1856,0,0,0,3.02,5.72,0,,,,,,,,,,
20160216:1956,0,0,0,2.61,5.84,0,,,,,,,,,,
20160216:2056,0,0,0,2.19,5.95,0,,,,,,,,,,
